Video Name,Thumbnail
DHY8vjrsOf-_loopingreels_score0.9310.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1n5woGji4NDU2MwJoIqoaHePLZBxyrHs0"")"
DB8MkP3CpQb_loopingreels_score0.9525.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1MzgiVp7L71QwEm2bYumGMmbuWjDz85Xs"")"
C-2fUcRoQaT_loopingreels_score0.9525.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1VO2looQGYCJeswJ4fVfZelCess3VscRO"")"
DKsWJafBms5_luminara.care_score0.9462.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1Qp70OhiL6EQdBU6iA9jo63XHG5Ug941z"")"
DFuI9Hcu1G__luminara.care_score0.8848.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1FuAN7FO6wsaCldh_W_wHcx6VhHN9wEhO"")"
DDkwYTmxv1D_newschoolboosted_score0.9824.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1TL1HqxvEGR_8F-K8nX8swaZ3j7cHRaQV"")"
DOWR1MPDaE4_lockedin_ai_score0.9857.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=13ChWs44Dma7l3fnaB1a3xiFdVhZ55hsG"")"
DRIQS1PDRjm_lifemoon.io_score0.8915.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1Sz5coJ-3AKBYujaOWXUC1v3XN9aqsDOk"")"
DP9d9s0DVJz_lifemoon.io_score0.9071.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1-qc3s3X0BdHLCYjp_X2y3phu6i3n0CDC"")"
DRzXVoqEtsT_acharyalavbhushan_score0.9312.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1sTAd57ZolNWFVl8Xovf0P-hvOPAXTZ6M"")"
DSAD5WVDWFZ_justrealanna_score0.8950.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1GJXXUimCj6I-pHyMEDotEBUWlaNh1W1W"")"
DRVHk9Kkvrg_bybinalshah_score0.8860.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=11wec_60qP6GHATC1BDzkQEymyqdb1Iox"")"
DSJya4HiDrE_shonia_t__score0.8935.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1qcPqJBx1AQqSKQs825vUpLzTEtW_6XUv"")"
DIFFnbKP0s5_dixxonflannelco_score0.8753.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1iCsiuqOyV4xP6aN-sOhvCqfrEqVJrZ-w"")"
DD4ALIWoLOD_efoodtour_score0.8715.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1ktGBMvsUnmsExn67w825xzHcY7MVZgQR"")"
DRhQyMFj6QI_lesslostmorefound_score0.8974.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1zOMIy5BMqHMplAYCCil80fH07MklArwB"")"
CzybI6GJ2mh_saikiranyedida_score0.8705.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1EcLZ_26_-tP0VGkdKvcc2PM2xjpz_x_5"")"
DRLICPwgcE1_irka_studio_score0.9203.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1qUXqlBWA41EtV5fjjC8xsxfcxECvyYyy"")"
DSdZfEVAS39_irka_studio_score0.9172.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1WBH48EVLiVbiwT9mFOK-mghEBThjvc8W"")"
DAM83lFJYxL_infusiontechnologies.co_score0.8757.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1LyCW_aU_jVQzVZy48C6VTthLYR_5DAq0"")"
